date,BTC_drawdown_pct,ETH_drawdown_pct,GOLD_drawdown_pct,ETF_drawdown_pct,EM_drawdown_pct,BOND_drawdown_pct
2024-03-19,-15.28,-34.38,-1.09,-0.28,-24.85,-41.07
2024-03-20,-7.07,-26.99,0.0,0.0,-24.0,-41.09
2024-03-21,-10.39,-27.41,-0.1,0.0,-23.91,-40.97
2024-03-22,-12.73,-30.72,-0.91,-0.24,-24.45,-40.4
2024-03-25,-4.28,-25.38,-0.59,-0.44,-24.39,-40.7
2024-03-26,-4.24,-25.45,-0.27,-0.57,-24.45,-40.53
2024-03-27,-4.96,-27.26,0.0,0.0,-24.32,-39.94
2024-03-28,-3.2,-25.99,0.0,-0.02,-24.04,-40.0
2024-04-01,-4.63,-27.16,0.0,-0.25,-23.91,-41.11
2024-04-02,-10.45,-31.9,0.0,-0.84,-23.67,-41.44
2024-04-03,-9.72,-31.18,0.0,-0.61,-23.62,-41.45
2024-04-04,-6.26,-30.8,-0.57,-1.61,-23.89,-41.03
2024-04-05,-7.18,-31.03,0.0,-0.84,-23.73,-41.85
2024-04-08,-1.99,-23.21,0.0,-0.63,-23.23,-41.86
2024-04-09,-5.4,-27.16,0.0,-0.48,-22.71,-41.32
2024-04-10,-3.41,-26.36,-0.95,-1.62,-23.76,-42.6
2024-04-11,-4.14,-27.16,0.0,-1.03,-23.3,-42.86
2024-04-12,-8.06,-32.61,-1.32,-2.56,-25.06,-42.55
2024-04-15,-13.21,-35.55,0.0,-3.5,-25.54,-43.44
2024-04-16,-12.69,-35.89,0.0,-4.01,-26.52,-43.82
2024-04-17,-16.16,-37.97,-0.74,-4.37,-26.57,-43.19
2024-04-18,-13.1,-36.28,-0.4,-4.5,-26.28,-43.48
2024-04-19,-12.64,-36.43,-0.09,-5.09,-26.57,-43.28
2024-04-22,-8.55,-33.47,-2.55,-4.13,-25.78,-43.37
2024-04-23,-9.14,-33.09,-2.79,-3.06,-25.17,-43.35
2024-04-24,-12.05,-34.75,-2.97,-3.11,-24.91,-43.75
2024-04-25,-11.77,-34.4,-2.4,-3.41,-24.74,-44.15
2024-04-26,-12.76,-34.95,-2.08,-2.51,-23.87,-43.86
2024-04-29,-12.65,-33.18,-2.28,-2.09,-23.14,-43.39
2024-04-30,-17.03,-37.4,-4.23,-3.57,-24.21,-43.87
2024-05-01,-20.29,-38.28,-3.36,-3.82,-24.13,-43.45
2024-05-02,-19.1,-37.9,-3.66,-2.62,-22.17,-43.21
2024-05-03,-13.95,-35.51,-3.73,-1.56,-21.47,-42.64
2024-05-06,-13.58,-36.35,-2.72,-0.67,-21.4,-42.41
2024-05-07,-14.71,-37.52,-3.17,-0.64,-21.84,-42.06
2024-05-08,-16.28,-38.2,-3.45,-0.7,-21.82,-42.41
2024-05-09,-13.73,-36.91,-1.93,-0.1,-21.58,-42.13
2024-05-10,-16.82,-39.53,-1.13,0.0,-21.42,-42.46
2024-05-13,-13.93,-38.71,-2.24,0.0,-20.82,-42.31
2024-05-14,-15.78,-40.13,-1.41,0.0,-20.4,-41.99
2024-05-15,-9.33,-36.89,-0.15,0.0,-19.55,-41.19
2024-05-16,-10.74,-38.8,-0.54,-0.21,-19.38,-41.25
2024-05-17,-8.25,-35.7,0.0,0.0,-19.03,-41.65
2024-05-20,-2.24,-23.86,0.0,0.0,-19.33,-41.82
2024-05-21,-4.03,-21.25,-0.15,0.0,-19.83,-41.52
2024-05-22,-5.42,-22.34,-1.98,-0.47,-20.08,-41.45
2024-05-23,-7.05,-21.51,-3.94,-1.13,-20.68,-41.83
2024-05-24,-6.24,-22.55,-3.85,-0.49,-20.45,-41.65
2024-05-28,-6.55,-20.2,-2.84,-0.46,-20.57,-42.49
2024-05-29,-7.53,-21.8,-3.74,-1.47,-21.75,-43.19
2024-05-30,-6.46,-22.14,-3.56,-1.72,-21.97,-42.64
2024-05-31,-7.65,-21.86,-4.12,-1.04,-22.73,-42.25
2024-06-03,-5.85,-21.73,-3.27,-0.85,-21.91,-41.31
2024-06-04,-3.44,-20.77,-4.14,-0.98,-23.01,-40.63
2024-06-05,-2.74,-19.7,-3.0,0.0,-21.77,-40.19
2024-06-06,-3.18,-20.79,-2.28,0.0,-21.38,-40.28
2024-06-07,-5.12,-23.55,-5.77,-0.5,-22.27,-41.38
2024-06-10,-4.89,-23.8,-4.91,-0.2,-21.8,-41.77
2024-06-11,-7.87,-27.3,-4.64,-0.41,-22.06,-41.17
2024-06-12,-6.63,-26.03,-4.38,0.0,-21.28,-40.72
2024-06-13,-8.66,-27.9,-5.16,-0.31,-21.47,-39.85
2024-06-14,-9.68,-27.68,-3.93,-0.5,-21.38,-39.35
2024-06-17,-9.02,-27.03,-4.43,0.0,-20.87,-39.95
2024-06-18,-10.87,-27.61,-4.05,0.0,-20.15,-39.4
2024-06-20,-11.3,-27.04,-2.85,-0.2,-20.28,-39.8
2024-06-21,-12.3,-26.93,-4.36,-0.6,-20.56,-39.8
2024-06-24,-17.52,-30.38,-3.98,-0.51,-20.56,-39.56
2024-06-25,-15.43,-29.45,-4.45,-0.21,-20.74,-39.46
2024-06-26,-16.79,-29.98,-5.33,-0.33,-20.91,-40.32
2024-06-27,-15.71,-28.41,-4.26,-0.19,-20.85,-40.08
2024-06-28,-17.46,-29.89,-4.25,-0.38,-20.71,-41.2
2024-07-01,-14.0,-28.51,-4.0,-0.21,-20.52,-42.21
2024-07-02,-15.13,-29.0,-4.01,0.0,-20.28,-41.76
2024-07-03,-17.66,-31.57,-2.93,0.0,-19.1,-41.0
2024-07-05,-22.47,-38.04,-1.62,0.0,-18.77,-40.51
2024-07-08,-22.41,-37.27,-2.84,0.0,-18.75,-40.38
2024-07-09,-20.63,-36.33,-2.67,-0.03,-18.42,-40.65
2024-07-10,-20.99,-35.53,-2.32,0.0,-17.95,-40.46
2024-07-11,-21.54,-35.57,-0.58,-0.39,-17.47,-39.88
2024-07-12,-20.78,-34.87,-0.65,0.0,-17.13,-39.62
2024-07-15,-11.24,-27.48,-0.33,-0.1,-18.01,-40.32
2024-07-16,-10.93,-28.44,0.0,0.0,-17.54,-39.48
2024-07-17,-12.27,-29.58,-0.46,-1.26,-18.88,-39.46
2024-07-18,-12.46,-28.8,-1.1,-2.1,-19.64,-39.93
2024-07-19,-8.72,-27.15,-2.87,-2.74,-20.43,-40.28
2024-07-22,-7.52,-28.5,-2.84,-1.74,-19.76,-40.45
2024-07-23,-9.79,-27.64,-2.5,-2.07,-20.46,-40.54
2024-07-24,-10.55,-30.67,-2.84,-4.0,-21.62,-41.18
2024-07-25,-10.0,-34.03,-4.36,-4.49,-21.93,-40.7
2024-07-26,-7.08,-31.92,-3.36,-3.36,-21.13,-40.23
2024-07-29,-8.57,-31.0,-3.49,-3.45,-21.39,-39.91
2024-07-30,-9.42,-31.87,-2.53,-3.77,-21.75,-39.68
