date,BTC_vol_30d,ETH_vol_30d,GOLD_vol_30d,ETF_vol_30d,EM_vol_30d,BOND_vol_30d
2019-11-04,70.06,74.64,11.39,11.57,12.58,13.27
2019-11-05,61.28,55.76,12.15,11.37,12.09,13.05
2019-11-06,61.02,55.7,11.04,11.38,12.16,12.6
2019-11-07,59.52,55.47,11.89,11.38,12.23,13.38
2019-11-08,61.5,54.34,11.93,11.19,11.87,13.34
2019-11-11,61.54,53.75,11.11,11.21,12.14,13.31
2019-11-12,61.54,53.57,11.01,10.54,12.1,13.36
2019-11-13,61.54,53.36,10.48,9.01,12.1,13.52
2019-11-14,61.44,52.65,10.47,8.85,11.65,13.61
2019-11-15,61.9,53.4,10.48,8.59,11.77,13.35
2019-11-18,62.26,52.97,10.28,8.41,11.43,13.24
2019-11-19,62.37,53.19,9.91,7.14,11.1,13.5
2019-11-20,61.26,49.86,9.9,7.16,11.14,13.84
2019-11-21,62.72,54.78,9.72,6.97,10.9,13.29
2019-11-22,63.41,56.58,9.61,6.02,9.98,12.81
2019-11-25,63.52,56.12,9.59,6.15,10.19,12.66
2019-11-26,63.48,56.15,9.54,5.63,10.01,12.25
2019-11-27,64.71,56.47,9.46,5.66,10.0,12.29
2019-11-29,65.33,56.57,9.66,6.07,11.06,12.28
2019-12-02,67.19,57.24,9.66,6.34,10.94,12.9
2019-12-03,66.33,57.13,10.01,6.31,10.74,14.08
2019-12-04,66.16,57.06,9.97,6.44,10.96,14.33
2019-12-05,63.55,55.13,9.94,6.4,11.03,14.4
2019-12-06,63.65,55.13,10.06,6.7,11.15,14.48
2019-12-09,43.77,41.37,10.01,6.79,11.04,14.42
2019-12-10,37.89,41.23,9.81,6.64,10.96,14.15
2019-12-11,37.07,38.62,10.02,6.71,11.61,14.31
2019-12-12,36.95,38.66,9.91,7.08,12.54,14.52
2019-12-13,37.05,38.65,9.51,7.03,12.25,14.38
2019-12-16,38.44,43.63,9.5,6.76,11.76,14.57
2019-12-17,38.78,47.79,9.49,6.71,11.71,14.08
2019-12-18,49.68,55.19,8.28,6.71,11.7,13.9
2019-12-19,49.6,54.96,8.21,6.7,11.63,13.79
2019-12-20,49.69,55.0,6.82,6.64,11.49,12.7
2019-12-23,48.61,55.0,6.56,6.64,11.08,12.64
2019-12-24,48.61,54.91,6.97,6.56,10.84,12.66
2019-12-26,48.51,54.68,7.23,6.64,10.67,12.62
